	type	cluster	gustatory	hygrosensory	mechanosensory	mechanosensory_auditory	mechanosensory_eye_bristle	mechanosensory_head_bristle	mechanosensory_jo	mechanosensory_taste_peg	ocellar	olfactory	thermosensory	visual_projection	visual
1	DNde007	1	4.56024096385542	6.99096385542169	4.9789156626506	7.56626506024096	6.67168674698795	5.69879518072289	6.82530120481928	5.65361445783133	9.22590361445783	6.25	7.06927710843373	4.7710843373494	7.88253012048193
2	DNg103	1	2.92168674698795	6.88855421686747	4.79819277108434	8.23493975903614	7.24096385542169	6.03313253012048	7.50602409638554	5.72289156626506	9.82228915662651	6.25903614457831	7.06024096385542	5.34036144578313	8.3433734939759
3	DNg26	1	4.81777108433735	7.03012048192771	4.06475903614458	8.01807228915663	6.96536144578313	6.35090361445783	6.96686746987952	6.70933734939759	9.1144578313253	6.96234939759036	7.37048192771084	5.07228915662651	8.00301204819277
4	DNg27	1	4.32228915662651	6.98192771084337	4.80421686746988	7.79216867469879	7.11746987951807	6.24698795180723	6.98192771084337	6.44277108433735	8.94879518072289	6.70783132530121	7.17168674698795	4.87048192771084	7.78915662650602
5	DNg28	1	3.96234939759036	6.75753012048193	4.31325301204819	8.45331325301205	7.09487951807229	5.57379518072289	7.46084337349398	5.00451807228916	9.75	6.74397590361446	7.13704819277108	5.58132530120482	8.50301204819277
6	DNg63	1	4.20783132530121	6.48192771084337	5.04819277108434	7.68373493975904	6.60843373493976	5.85240963855422	6.83734939759036	5.78012048192771	9.18072289156627	5.98192771084337	6.50301204819277	4.34638554216867	7.71084337349398
7	DNg65	1	3.30722891566265	5.89156626506024	4.86746987951807	7.56626506024096	5.9789156626506	5.27710843373494	6.54819277108434	6.37951807228916	9.60843373493976	5.99397590361446	6.48493975903614	4.74698795180723	7.93072289156627
8	DNg68	1	3.75	6.53012048192771	4.53614457831325	7.30120481927711	5.79216867469879	4.72289156626506	6.29216867469879	6.16265060240964	9.49698795180723	5.93975903614458	6.89457831325301	4.65361445783133	7.88855421686747
9	DNg80	1	4.44277108433735	5.46385542168675	3.80120481927711	7.8644578313253	6.89457831325301	5.98795180722892	6.92771084337349	6.43072289156627	9.25602409638554	6.05120481927711	6.17168674698795	4.96686746987952	7.69578313253012
10	DNge005	1	4.98192771084337	6.93373493975904	4.07831325301205	7.87349397590361	6.62650602409639	5.8644578313253	6.95481927710843	6.50602409638554	9.2289156626506	7.12349397590361	7.53915662650602	5.10542168674699	7.90060240963855
