class	supervoxel_id	root_id	group	side	type	Namiki_name	synonyms	comment	long_tract	soma_location	soma_division	neuropil	neuropilgroup	cluster	confidence_LM_1_5	x	y	z
DN	81067198742874678	720575940644438551	720575940627787609	L	DNa01	DNa01			MTD-III	a	brain	multi	multi	16	4	133529	77125	5798
DN	78887554648419193	720575940627787609	720575940627787609	R	DNa01	DNa01			MTD-III	a	brain	multi	multi	16	4	130844	75988	5798
DN	81137567487051293	720575940604737708	720575940604737708	L	DNa02	DNa02			ITD	a	brain	LAL_IPS	PS_LAL	16	5	137715	81039	5798
DN	78535092317951076	720575940629327659	720575940604737708	R	DNa02	DNa02			ITD	a	brain	LAL_IPS	PS_LAL	16	5	125640	76907	5798
DN	81067198742878698	720575940630085583	720575940620918789	L	DNa03	DNa03			MTD-I	a	brain	LAL_IPS	PS_LAL	16	5	132962	77269	5798
DN	78816429788909362	720575940620918789	720575940620918789	R	DNa03	DNa03			MTD-I	a	brain	LAL_IPS	PS_LAL	16	5	130814	76235	5798
DN	81067267462343296	720575940627432680	720575940627432680	L	DNa04	DNa04			MTD-I	a	brain	SPS_IPS	PS_LAL	16	5	133810	77363	5798
DN	78887142331394982	720575940628577897	720575940627432680	R	DNa04	DNa04			MTD-I	a	brain	SPS_IPS	PS_LAL	16	5	130256	76130	5798
DN	81067198742881327	720575940623062515	720575940620534768	L	DNa05	DNa05			MTD-I	a	brain	SPS_IPS	PS_LAL	6	5	134049	74999	5798
DN	78887211050967908	720575940620534768	720575940620534768	R	DNa05	DNa05			MTD-I	a	brain	SPS_IPS	PS_LAL	6	5	130350	75534	5798
DN	81067198742860395	720575940640325429	720575940624986919	L	DNa06	DNa06			ITD	a	brain	multi	multi	16	5	139230	79544	5798
DN	78817048465349955	720575940624986919	720575940624986919	R	DNa06	DNa06			ITD	a	brain	multi	multi	16	5	126471	76819	5798
DN	81067198742884128	720575940633727339	720575940633727339	L	DNa07	DNa07			MTD-I	a	brain	PLP_SPS	PLP	16	5	133063	77393	5798
DN	78746129831140353	720575940637101413	720575940633727339	R	DNa07	DNa07			MTD-I	a	brain	PLP_SPS	PLP	16	5	130697	76849	5798
DN	81067267462344741	720575940625090314	720575940625090314	L	DNa08	DNa08			MTD-II	a	brain	multi	multi	16	5	133491	77348	5798
DN	78322817787117095	720575940631498563	720575940625090314	R	DNa08	DNa08			MTD-II	a	brain	multi	multi	16	5	130206	76734	5798
DN	81067198742871711	720575940620711334	720575940620711334	L	DNa09	DNa09			MTD-I	a	brain	multi	multi	16	5	133900	76761	5798
DN	78746129897978177	720575940634140883	720575940620711334	R	DNa09	DNa09			MTD-I	a	brain	multi	multi	16	5	129949	76489	5798
DN	81137567487046166	720575940627946261	720575940623468691	L	DNa10	DNa10			MTD-II	a	brain	multi	multi	16	5	137015	74070	5798
DN	78322749067709655	720575940623468691	720575940623468691	R	DNa10	DNa10			MTD-II	a	brain	multi	multi	16	5	126653	73166	5793
DN	81067198742876030	720575940623019544	720575940611735514	L	DNa11	DNa11			DMT	a	brain	multi	multi	16	4	138436	81861	5798
DN	78816498575193012	720575940611735514	720575940611735514	R	DNa11	DNa11			DMT	a	brain	multi	multi	16	4	126421	80214	5798
DN	81067198742876335	720575940631520312	720575940629490476	L	aSP22	DNa12	DNa12		DMT	a	brain	multi	multi	16	4	137803	81767	5798
DN	78605323623177069	720575940629490476	720575940629490476	R	aSP22	DNa12	DNa12		DMT	a	brain	multi	multi	16	4	126796	80296	5798
DN	81067198742876203	720575940625502666	720575940616286175	L	DNa13	DNa13		previously DNa13_a	MTD-III	a	brain	multi	multi	16	5	133225	77322	5798
DN	81067198742873453	720575940637607646	720575940613408552	L	DNa13	DNa13		previously DNa13_b	MTD-III	a	brain	multi	multi	16	5	133291	77575	5798
DN	78887485928970796	720575940616286175	720575940616286175	R	DNa13	DNa13		previously DNa13_a	MTD-III	a	brain	multi	multi	16	5	130772	76548	5798
DN	78605460995528527	720575940613408552	720575940613408552	R	DNa13	DNa13		previously DNa13_b	MTD-III	a	brain	multi	multi	16	5	130556	76465	5798
DN	81278098749905747	720575940637608560	720575940620823828	L	DNa14	DNa14			MDA	a	brain	multi	multi	16	5	133013	77643	5798
DN	78181874073701768	720575940620823828	720575940620823828	R	DNa14	DNa14			MDA	a	brain	multi	multi	16	5	131220	76314	5798
DN	81067198742878773	720575940609488942	720575940609488942	L	DNa15	DNa15			MTD-I	a	brain	IPS_SPS	PS_LAL	16	4	133225	76587	5798
DN	78746610935008818	720575940631759663	720575940609488942	R	DNa15	DNa15			MTD-I	a	brain	IPS_SPS	PS_LAL	16	4	130388	76145	5798
DN	81067198742884076	720575940621519130	720575940621519130	L	DNa16	DNa16			ITD	a	brain	multi	multi	6	4	138246	77505	5798
DN	78887417209750430	720575940632962786	720575940621519130	R	DNa16	DNa16			ITD	a	brain	multi	multi	6	4	125911	76327	5798
DN	81137636206527502	720575940626328707	720575940618167579	L	DNae001					a	brain	multi	multi	16		135564	80867	5798
DN	78816429788786109	720575940618167579	720575940618167579	R	DNae001					a	brain	multi	multi	16		128762	81062	5798
DN	81067198742877163	720575940620380449	720575940620380449	L	DNae002					a	brain	multi	multi	16		133573	76329	5798
DN	78676173537828961	720575940627139530	720575940620380449	R	DNae002					a	brain	multi	multi	16		129767	74892	5798
DN	81137567487052186	720575940622204186	720575940622204186	L	DNae003					a	brain	IPS_SPS	PS_LAL	16		133658	76859	5798
DN	78746473562545229	720575940634253281	720575940622204186	R	DNae003					a	brain	IPS_SPS	PS_LAL	16		129899	75686	5798
